結構類型,站間里程,連續里程,備註,座標N值,座標E值,高程_m
地下路段,0+820.0,65+020.181,,2771408.339,301089.340,-24.804
地下路段,0+830.0,65+030.181,,2771410.605,301079.600,-25.013
地下路段,0+840.0,65+040.181,,2771413.150,301069.930,-25.192
地下路段,0+850.0,65+050.181,,2771415.915,301060.320,-25.343
地下路段,0+860.0,65+060.181,,2771418.844,301050.759,-25.464
地下路段,0+870.0,65+070.181,,2771421.881,301041.231,-25.557
地下路段,0+880.0,65+080.181,,2771424.968,301031.719,-25.621
地下路段,0+890.0,65+090.181,,2771428.063,301022.210,-25.655
地下路段,0+900.0,65+100.181,,2771431.158,301012.701,-25.661
地下路段,0+910.0,65+110.181,,2771434.254,301003.193,-25.642
地下路段,0+920.0,65+120.181,,2771437.367,300993.690,-25.617
地下路段,0+930.0,65+130.181,,2771440.535,300984.204,-25.593
地下路段,0+940.0,65+140.181,,2771443.794,300974.751,-25.569
地下路段,0+950.0,65+150.181,,2771447.184,300965.343,-25.545
地下路段,0+960.0,65+160.181,,2771450.740,300955.997,-25.521
地下路段,0+970.0,65+170.181,,2771454.500,300946.731,-25.497
地下路段,0+980.0,65+180.181,,2771458.497,300937.564,-25.473
地下路段,0+990.0,65+190.181,,2771462.750,300928.514,-25.449
地下路段,1+000.0,65+200.181,,2771467.258,300919.589,-25.425
地下路段,1+010.0,65+210.181,,2771472.018,300910.794,-25.401
地下路段,1+020.0,65+220.181,,2771477.025,300902.138,-25.377
地下路段,1+030.0,65+230.181,,2771482.275,300893.628,-25.351
地下路段,1+040.0,65+240.181,,2771487.764,300885.270,-25.322
地下路段,1+050.0,65+250.181,,2771493.488,300877.070,-25.290
地下路段,1+060.0,65+260.181,,2771499.442,300869.036,-25.259
地下路段,1+070.0,65+270.181,,2771505.613,300861.168,-25.228
地下路段,1+080.0,65+280.181,,2771511.971,300853.449,-25.196
地下路段,1+090.0,65+290.181,,2771518.480,300845.858,-25.165
地下路段,1+100.0,65+300.181,,2771525.107,300838.370,-25.133
地下路段,1+110.0,65+310.181,,2771531.823,300830.960,-25.102
地下路段,1+120.0,65+320.181,,2771538.595,300823.603,-25.071
地下路段,1+130.0,65+330.181,,2771545.395,300816.271,-25.039
地下路段,1+140.0,65+340.181,,2771552.199,300808.942,-25.008
地下路段,1+150.0,65+350.181,,2771559.003,300801.614,-24.976
地下路段,1+160.0,65+360.181,,2771565.807,300794.285,-24.945
地下路段,1+170.0,65+370.181,,2771572.611,300786.957,-24.914
地下路段,1+180.0,65+380.181,,2771579.415,300779.628,-24.882
地下路段,1+190.0,65+390.181,,2771586.219,300772.299,-24.851
地下路段,1+200.0,65+400.181,,2771593.023,300764.971,-24.819
地下路段,1+210.0,65+410.181,,2771599.826,300757.642,-24.788
地下路段,1+220.0,65+420.181,,2771606.630,300750.314,-24.757
地下路段,1+230.0,65+430.181,,2771613.434,300742.985,-24.725
地下路段,1+240.0,65+440.181,,2771620.238,300735.657,-24.694
地下路段,1+250.0,65+450.181,,2771627.042,300728.328,-24.662
地下路段,1+260.0,65+460.181,,2771633.846,300721.000,-24.631
地下路段,1+270.0,65+470.181,,2771640.650,300713.671,-24.600
地下路段,1+280.0,65+480.181,,2771647.454,300706.343,-24.568
地下路段,1+290.0,65+490.181,,2771654.257,300699.014,-24.537
地下路段,1+300.0,65+500.181,,2771661.061,300691.686,-24.505
地下路段,1+310.0,65+510.181,,2771667.865,300684.357,-24.474
地下路段,1+320.0,65+520.181,,2771674.669,300677.029,-24.443
地下路段,1+330.0,65+530.181,,2771681.473,300669.700,-24.411
地下路段,1+340.0,65+540.181,,2771688.277,300662.372,-24.380
地下路段,1+350.0,65+550.181,,2771695.081,300655.043,-24.348
地下路段,1+360.0,65+560.181,,2771701.885,300647.715,-24.317
地下路段,1+370.0,65+570.181,,2771708.688,300640.386,-24.286
地下路段,1+380.0,65+580.181,,2771715.492,300633.058,-24.254
地下路段,1+390.0,65+590.181,,2771722.296,300625.729,-24.223
地下路段,1+400.0,65+600.181,,2771729.100,300618.400,-24.191
地下路段,1+410.0,65+610.181,,2771735.904,300611.072,-24.160
地下路段,1+420.0,65+620.181,,2771742.708,300603.743,-24.129
地下路段,1+430.0,65+630.181,,2771749.512,300596.415,-24.097
地下路段,1+440.0,65+640.181,,2771756.316,300589.086,-24.066
地下路段,1+450.0,65+650.181,,2771763.119,300581.758,-24.034
地下路段,1+460.0,65+660.181,,2771769.923,300574.429,-24.003
地下路段,1+470.0,65+670.181,,2771776.727,300567.101,-23.972
地下路段,1+480.0,65+680.181,,2771783.531,300559.772,-23.940
