結構類型,站間里程,連續里程,備註,座標N值,座標E值,高程_m
高架路段,1+440.0,78+377.167,,2769033.549,291346.738,73.675
高架路段,1+450.0,78+387.167,,2769033.506,291336.739,74.162
高架路段,1+460.0,78+397.167,,2769033.463,291326.739,74.650
高架路段,1+470.0,78+407.167,,2769033.420,291316.739,75.140
高架路段,1+480.0,78+417.167,,2769033.377,291306.739,75.630
高架路段,1+490.0,78+427.167,,2769033.334,291296.739,76.120
高架路段,1+500.0,78+437.167,,2769033.291,291286.739,76.611
高架路段,1+510.0,78+447.167,,2769033.248,291276.739,77.101
高架路段,1+520.0,78+457.167,,2769033.205,291266.739,77.591
高架路段,1+530.0,78+467.167,,2769033.162,291256.739,78.082
高架路段,1+540.0,78+477.167,,2769033.119,291246.739,78.572
高架路段,1+550.0,78+487.167,,2769033.077,291236.739,79.062
高架路段,1+560.0,78+497.167,,2769033.034,291226.740,79.553
高架路段,1+570.0,78+507.167,,2769032.991,291216.740,80.043
高架路段,1+580.0,78+517.167,,2769032.948,291206.740,80.534
高架路段,1+590.0,78+527.167,,2769032.905,291196.740,81.024
高架路段,1+600.0,78+537.167,,2769032.862,291186.740,81.514
高架路段,1+610.0,78+547.167,,2769032.819,291176.740,82.005
高架路段,1+620.0,78+557.167,,2769032.776,291166.740,82.495
高架路段,1+630.0,78+567.167,,2769032.733,291156.740,82.986
高架路段,1+640.0,78+577.167,,2769032.690,291146.740,83.476
高架路段,1+650.0,78+587.167,,2769032.647,291136.740,83.966
高架路段,1+660.0,78+597.167,,2769032.604,291126.740,84.457
高架路段,1+670.0,78+607.167,,2769032.561,291116.741,84.947
高架路段,1+680.0,78+617.167,,2769032.518,291106.741,85.437
高架路段,1+690.0,78+627.167,,2769032.475,291096.741,85.928
高架路段,1+700.0,78+637.167,,2769032.432,291086.741,86.418
高架路段,1+710.0,78+647.167,,2769032.389,291076.741,86.908
高架路段,1+720.0,78+657.167,,2769032.346,291066.741,87.398
高架路段,1+730.0,78+667.167,,2769032.303,291056.741,87.886
高架路段,1+740.0,78+677.167,,2769032.260,291046.741,88.373
高架路段,1+750.0,78+687.167,,2769032.219,291036.741,88.864
高架路段,1+760.0,78+697.167,,2769032.202,291026.741,89.357
高架路段,1+770.0,78+707.167,,2769032.248,291016.741,89.850
高架路段,1+780.0,78+717.167,,2769032.392,291006.743,90.343
高架路段,1+790.0,78+727.167,,2769032.672,290996.747,90.836
高架路段,1+800.0,78+737.167,,2769033.124,290986.757,91.330
高架路段,1+810.0,78+747.167,,2769033.785,290976.779,91.819
高架路段,1+820.0,78+757.167,,2769034.666,290966.818,92.306
高架路段,1+830.0,78+767.167,,2769035.769,290956.879,92.792
高架路段,1+840.0,78+777.167,,2769037.093,290946.968,93.279
高架路段,1+850.0,78+787.167,,2769038.636,290937.088,93.766
高架路段,1+860.0,78+797.167,,2769040.398,290927.244,94.253
高架路段,1+870.0,78+807.167,,2769042.379,290917.443,94.740
高架路段,1+880.0,78+817.167,,2769044.577,290907.687,95.228
高架路段,1+890.0,78+827.167,,2769046.991,290897.983,95.716
高架路段,1+900.0,78+837.167,,2769049.620,290888.335,96.205
高架路段,1+910.0,78+847.167,,2769052.463,290878.748,96.693
高架路段,1+920.0,78+857.167,,2769055.519,290869.227,97.181
高架路段,1+930.0,78+867.167,,2769058.785,290859.775,97.670
高架路段,1+940.0,78+877.167,,2769062.260,290850.399,98.158
高架路段,1+950.0,78+887.167,,2769065.943,290841.102,98.647
高架路段,1+960.0,78+897.167,,2769069.830,290831.889,99.131
高架路段,1+970.0,78+907.167,,2769073.899,290822.754,99.613
高架路段,1+980.0,78+917.167,,2769078.114,290813.686,100.095
高架路段,1+990.0,78+927.167,,2769082.441,290804.670,100.578
高架路段,2+000.0,78+937.167,,2769086.847,290795.693,101.060
高架路段,2+010.0,78+947.167,,2769091.297,290786.738,101.542
高架路段,2+020.0,78+957.167,,2769095.761,290777.790,102.028
高架路段,2+030.0,78+967.167,,2769100.224,290768.841,102.517
高架路段,2+040.0,78+977.167,,2769104.688,290759.893,103.006
高架路段,2+050.0,78+987.167,,2769109.152,290750.944,103.495
高架路段,2+060.0,78+997.167,,2769113.616,290741.996,103.986
高架路段,2+070.0,79+007.167,,2769118.079,290733.047,104.476
高架路段,2+080.0,79+017.167,,2769122.543,290724.099,104.967
高架路段,2+090.0,79+027.167,,2769127.007,290715.150,105.457
高架路段,2+100.0,79+037.167,,2769131.471,290706.202,105.947
高架路段,2+110.0,79+047.167,,2769135.934,290697.253,106.438
高架路段,2+120.0,79+057.167,,2769140.398,290688.305,106.928
高架路段,2+130.0,79+067.167,,2769144.862,290679.357,107.418
高架路段,2+140.0,79+077.167,,2769149.326,290670.408,107.909
高架路段,2+150.0,79+087.167,,2769153.789,290661.460,108.399
高架路段,2+160.0,79+097.167,,2769158.253,290652.511,108.890
高架路段,2+170.0,79+107.167,,2769162.717,290643.563,109.380
高架路段,2+180.0,79+117.167,,2769167.181,290634.614,109.872
高架路段,2+190.0,79+127.167,,2769171.638,290625.663,110.368
高架路段,2+200.0,79+137.167,,2769176.076,290616.701,110.863
高架路段,2+210.0,79+147.167,,2769180.480,290607.723,111.359
高架路段,2+220.0,79+157.167,,2769184.835,290598.722,111.854
高架路段,2+230.0,79+167.167,,2769189.129,290589.690,112.349
高架路段,2+240.0,79+177.167,,2769193.347,290580.623,112.845
高架路段,2+250.0,79+187.167,,2769197.473,290571.514,113.340
高架路段,2+260.0,79+197.167,,2769201.493,290562.358,113.833
高架路段,2+270.0,79+207.167,,2769205.400,290553.153,114.324
高架路段,2+280.0,79+217.167,,2769209.191,290543.899,114.814
高架路段,2+290.0,79+227.167,,2769212.866,290534.599,115.305
高架路段,2+300.0,79+237.167,,2769216.425,290525.254,115.795
高架路段,2+310.0,79+247.167,,2769219.866,290515.865,116.285
高架路段,2+320.0,79+257.167,,2769223.190,290506.433,116.776
高架路段,2+330.0,79+267.167,,2769226.395,290496.961,117.266
高架路段,2+340.0,79+277.167,,2769229.482,290487.450,117.756
高架路段,2+350.0,79+287.167,,2769232.450,290477.900,118.245
高架路段,2+360.0,79+297.167,,2769235.305,290468.317,118.730
高架路段,2+370.0,79+307.167,,2769238.060,290458.704,119.215
高架路段,2+380.0,79+317.167,,2769240.730,290449.067,119.700
高架路段,2+390.0,79+327.167,,2769243.330,290439.411,120.186
高架路段,2+400.0,79+337.167,,2769245.876,290429.740,120.671
高架路段,2+410.0,79+347.167,,2769248.381,290420.059,121.156
高架路段,2+420.0,79+357.167,,2769250.862,290410.372,121.641
高架路段,2+430.0,79+367.167,,2769253.332,290400.682,122.129
高架路段,2+440.0,79+377.167,,2769255.803,290390.992,122.619
高架路段,2+450.0,79+387.167,,2769258.273,290381.301,123.109
高架路段,2+460.0,79+397.167,,2769260.747,290371.612,123.608
高架路段,2+470.0,79+407.167,,2769263.246,290361.930,124.107
高架路段,2+480.0,79+417.167,,2769265.798,290352.261,124.607
高架路段,2+490.0,79+427.167,,2769268.428,290342.613,125.106
高架路段,2+500.0,79+437.167,,2769271.165,290332.995,125.606
高架路段,2+510.0,79+447.167,,2769274.032,290323.415,126.105
高架路段,2+520.0,79+457.167,,2769277.054,290313.882,126.596
高架路段,2+530.0,79+467.167,,2769280.235,290304.402,127.086
高架路段,2+540.0,79+477.167,,2769283.573,290294.975,127.577
高架路段,2+550.0,79+487.167,,2769287.067,290285.606,128.066
高架路段,2+560.0,79+497.167,,2769290.718,290276.296,128.555
高架路段,2+570.0,79+507.167,,2769294.523,290267.049,129.044
高架路段,2+580.0,79+517.167,,2769298.481,290257.866,129.531
高架路段,2+590.0,79+527.167,,2769302.592,290248.750,130.019
高架路段,2+600.0,79+537.167,,2769306.855,290239.704,130.507
高架路段,2+610.0,79+547.167,,2769311.267,290230.730,130.995
高架路段,2+620.0,79+557.167,,2769315.829,290221.831,131.483
高架路段,2+630.0,79+567.167,,2769320.538,290213.010,131.970
高架路段,2+640.0,79+577.167,,2769325.393,290204.268,132.458
高架路段,2+650.0,79+587.167,,2769330.394,290195.608,132.943
高架路段,2+660.0,79+597.167,,2769335.530,290187.028,133.422
高架路段,2+670.0,79+607.167,,2769340.779,290178.516,133.901
高架路段,2+680.0,79+617.167,,2769346.116,290170.059,134.379
高架路段,2+690.0,79+627.167,,2769351.517,290161.643,134.858
高架路段,2+700.0,79+637.167,,2769356.959,290153.254,135.336
高架路段,2+710.0,79+647.167,,2769362.418,290144.875,135.817
高架路段,2+720.0,79+657.167,,2769367.879,290136.498,136.305
高架路段,2+730.0,79+667.167,,2769373.339,290128.120,136.794
高架路段,2+740.0,79+677.167,,2769378.800,290119.743,137.283
高架路段,2+750.0,79+687.167,,2769384.260,290111.366,137.774
高架路段,2+760.0,79+697.167,,2769389.721,290102.988,138.264
高架路段,2+770.0,79+707.167,,2769395.182,290094.611,138.754
高架路段,2+780.0,79+717.167,,2769400.642,290086.233,139.245
高架路段,2+790.0,79+727.167,,2769406.103,290077.856,139.735
高架路段,2+800.0,79+737.167,,2769411.564,290069.478,140.226
高架路段,2+810.0,79+747.167,,2769417.024,290061.101,140.716
高架路段,2+820.0,79+757.167,,2769422.485,290052.724,141.206
高架路段,2+830.0,79+767.167,,2769427.946,290044.346,141.697
高架路段,2+840.0,79+777.167,,2769433.406,290035.969,142.187
高架路段,2+850.0,79+787.167,,2769438.867,290027.591,142.677
高架路段,2+860.0,79+797.167,,2769444.328,290019.214,143.168
高架路段,2+870.0,79+807.167,,2769449.788,290010.836,143.658
高架路段,2+880.0,79+817.167,,2769455.249,290002.459,144.147
高架路段,2+890.0,79+827.167,,2769460.709,289994.081,144.638
高架路段,2+900.0,79+837.167,,2769466.173,289985.706,145.132
高架路段,2+910.0,79+847.167,,2769471.652,289977.340,145.627
高架路段,2+920.0,79+857.167,,2769477.158,289968.993,146.121
高架路段,2+930.0,79+867.167,,2769482.703,289960.671,146.610
高架路段,2+940.0,79+877.167,,2769488.287,289952.375,147.100
高架路段,2+950.0,79+887.167,,2769493.911,289944.107,147.590
高架路段,2+960.0,79+897.167,,2769499.574,289935.865,148.081
高架路段,2+970.0,79+907.167,,2769505.276,289927.650,148.571
高架路段,2+980.0,79+917.167,,2769511.018,289919.462,149.061
高架路段,2+990.0,79+927.167,,2769516.798,289911.302,149.552
高架路段,3+000.0,79+937.167,,2769522.617,289903.169,150.042
高架路段,3+010.0,79+947.167,,2769528.475,289895.065,150.533
高架路段,3+020.0,79+957.167,,2769534.371,289886.988,151.023
高架路段,3+030.0,79+967.167,,2769540.305,289878.939,151.513
高架路段,3+040.0,79+977.167,,2769546.278,289870.919,152.004
高架路段,3+050.0,79+987.167,,2769552.289,289862.927,152.494
高架路段,3+060.0,79+997.167,,2769558.338,289854.964,152.984
高架路段,3+070.0,80+007.167,,2769564.425,289847.030,153.475
高架路段,3+080.0,80+017.167,,2769570.549,289839.125,153.965
高架路段,3+090.0,80+027.167,,2769576.712,289831.249,154.456
高架路段,3+100.0,80+037.167,,2769582.911,289823.403,154.946
高架路段,3+110.0,80+047.167,,2769589.148,289815.586,155.436
高架路段,3+120.0,80+057.167,,2769595.422,289807.799,155.927
高架路段,3+130.0,80+067.167,,2769601.733,289800.042,156.417
高架路段,3+140.0,80+077.167,,2769608.081,289792.315,156.907
高架路段,3+150.0,80+087.167,,2769614.465,289784.619,157.398
高架路段,3+160.0,80+097.167,,2769620.886,289776.953,157.888
高架路段,3+170.0,80+107.167,,2769627.344,289769.317,158.379
高架路段,3+180.0,80+117.167,,2769633.838,289761.713,158.869
高架路段,3+190.0,80+127.167,,2769640.368,289754.139,159.359
高架路段,3+200.0,80+137.167,,2769646.934,289746.597,159.850
高架路段,3+210.0,80+147.167,,2769653.536,289739.086,160.339
高架路段,3+220.0,80+157.167,,2769660.169,289731.603,160.824
高架路段,3+230.0,80+167.167,,2769666.824,289724.138,161.310
高架路段,3+240.0,80+177.167,,2769673.487,289716.681,161.796
高架路段,3+250.0,80+187.167,,2769680.151,289709.225,162.287
高架路段,3+260.0,80+197.167,,2769686.815,289701.769,162.777
高架路段,3+270.0,80+207.167,,2769693.479,289694.313,163.267
高架路段,3+280.0,80+217.167,,2769700.143,289686.857,163.758
高架路段,3+290.0,80+227.167,,2769706.807,289679.401,164.248
高架路段,3+300.0,80+237.167,,2769713.471,289671.945,164.738
高架路段,3+310.0,80+247.167,,2769720.135,289664.489,165.229
高架路段,3+320.0,80+257.167,,2769726.798,289657.033,165.719
高架路段,3+330.0,80+267.167,,2769733.462,289649.577,166.210
高架路段,3+340.0,80+277.167,,2769740.126,289642.121,166.700
高架路段,3+350.0,80+287.167,,2769746.790,289634.665,167.190
高架路段,3+360.0,80+297.167,,2769753.454,289627.209,167.681
高架路段,3+370.0,80+307.167,,2769760.118,289619.754,168.171
高架路段,3+380.0,80+317.167,,2769766.782,289612.298,168.661
高架路段,3+390.0,80+327.167,,2769773.446,289604.842,169.152
高架路段,3+400.0,80+337.167,,2769780.110,289597.386,169.642
高架路段,3+410.0,80+347.167,,2769786.774,289589.930,170.133
高架路段,3+420.0,80+357.167,,2769793.438,289582.474,170.623
高架路段,3+430.0,80+367.167,,2769800.102,289575.018,171.113
高架路段,3+440.0,80+377.167,,2769806.766,289567.562,171.604
高架路段,3+450.0,80+387.167,,2769813.430,289560.106,172.094
高架路段,3+460.0,80+397.167,,2769820.094,289552.650,172.584
高架路段,3+470.0,80+407.167,,2769826.758,289545.194,173.075
高架路段,3+480.0,80+417.167,,2769833.422,289537.738,173.565
高架路段,3+490.0,80+427.167,,2769840.086,289530.282,174.056
高架路段,3+500.0,80+437.167,,2769846.750,289522.826,174.546
高架路段,3+510.0,80+447.167,,2769853.410,289515.367,175.044
高架路段,3+520.0,80+457.167,,2769860.050,289507.890,175.542
高架路段,3+530.0,80+467.167,,2769866.647,289500.374,176.041
變化點,3+532.3,80+469.467,進入山岳隧道,2769867.586,289498.144,176.190
隧道路段,3+540.0,80+477.167,,2769873.177,289492.801,176.539
隧道路段,3+550.0,80+487.167,,2769879.619,289485.152,177.038
隧道路段,3+560.0,80+497.167,,2769885.946,289477.408,177.536
隧道路段,3+570.0,80+507.167,,2769892.136,289469.555,178.035
隧道路段,3+580.0,80+517.167,,2769898.163,289461.575,178.533
隧道路段,3+590.0,80+527.167,,2769904.002,289453.457,179.024
隧道路段,3+600.0,80+537.167,,2769909.647,289445.203,179.515
隧道路段,3+610.0,80+547.167,,2769915.093,289436.816,180.005
隧道路段,3+620.0,80+557.167,,2769920.338,289428.303,180.495
隧道路段,3+630.0,80+567.167,,2769925.379,289419.666,180.986
隧道路段,3+640.0,80+577.167,,2769930.213,289410.913,181.476
隧道路段,3+650.0,80+587.167,,2769934.837,289402.046,181.967
隧道路段,3+660.0,80+597.167,,2769939.249,289393.072,182.457
隧道路段,3+670.0,80+607.167,,2769943.446,289383.996,182.947
隧道路段,3+680.0,80+617.167,,2769947.426,289374.822,183.438
隧道路段,3+690.0,80+627.167,,2769951.186,289365.556,183.928
隧道路段,3+700.0,80+637.167,,2769954.724,289356.203,184.418
隧道路段,3+710.0,80+647.167,,2769958.039,289346.769,184.909
隧道路段,3+720.0,80+657.167,,2769961.128,289337.258,185.399
隧道路段,3+730.0,80+667.167,,2769963.990,289327.677,185.890
隧道路段,3+740.0,80+677.167,,2769966.623,289318.030,186.380
隧道路段,3+750.0,80+687.167,,2769969.025,289308.323,186.870
隧道路段,3+760.0,80+697.167,,2769971.196,289298.562,187.360
隧道路段,3+770.0,80+707.167,,2769973.134,289288.752,187.850
隧道路段,3+780.0,80+717.167,,2769974.838,289278.898,188.338
隧道路段,3+790.0,80+727.167,,2769976.306,289269.007,188.826
隧道路段,3+800.0,80+737.167,,2769977.540,289259.083,189.309
隧道路段,3+810.0,80+747.167,,2769978.554,289249.135,189.789
隧道路段,3+820.0,80+757.167,,2769979.376,289239.169,190.268
隧道路段,3+830.0,80+767.167,,2769980.037,289229.191,190.748
隧道路段,3+840.0,80+777.167,,2769980.566,289219.205,191.227
隧道路段,3+850.0,80+787.167,,2769980.993,289209.214,191.707
隧道路段,3+860.0,80+797.167,,2769981.346,289199.221,192.186
隧道路段,3+870.0,80+807.167,,2769981.657,289189.225,192.666
隧道路段,3+880.0,80+817.167,,2769981.953,289179.230,193.150
隧道路段,3+890.0,80+827.167,,2769982.249,289169.234,193.638
隧道路段,3+900.0,80+837.167,,2769982.545,289159.239,194.125
隧道路段,3+910.0,80+847.167,,2769982.842,289149.243,194.613
隧道路段,3+920.0,80+857.167,,2769983.138,289139.247,195.100
隧道路段,3+930.0,80+867.167,,2769983.434,289129.252,195.588
隧道路段,3+940.0,80+877.167,,2769983.730,289119.256,196.077
隧道路段,3+950.0,80+887.167,,2769984.045,289109.261,196.574
隧道路段,3+960.0,80+897.167,,2769984.456,289099.270,197.072
隧道路段,3+970.0,80+907.167,,2769985.051,289089.287,197.569
隧道路段,3+980.0,80+917.167,,2769985.918,289079.326,198.067
隧道路段,3+990.0,80+927.167,,2769987.143,289069.402,198.564
隧道路段,4+000.0,80+937.167,,2769988.793,289059.540,199.050
隧道路段,4+010.0,80+947.167,,2769990.876,289049.760,199.534
隧道路段,4+020.0,80+957.167,,2769993.388,289040.081,200.015
隧道路段,4+030.0,80+967.167,,2769996.324,289030.522,200.493
隧道路段,4+040.0,80+977.167,,2769999.677,289021.102,200.970
隧道路段,4+050.0,80+987.167,,2770003.442,289011.839,201.448
隧道路段,4+060.0,80+997.167,,2770007.612,289002.751,201.925
隧道路段,4+070.0,81+007.167,,2770012.177,288993.855,202.402
隧道路段,4+080.0,81+017.167,,2770017.130,288985.168,202.879
隧道路段,4+090.0,81+027.167,,2770022.461,288976.709,203.356
隧道路段,4+100.0,81+037.167,,2770028.159,288968.492,203.833
隧道路段,4+110.0,81+047.167,,2770034.213,288960.534,204.311
隧道路段,4+120.0,81+057.167,,2770040.612,288952.850,204.788
隧道路段,4+130.0,81+067.167,,2770047.343,288945.456,205.265
隧道路段,4+140.0,81+077.167,,2770054.394,288938.365,205.742
隧道路段,4+150.0,81+087.167,,2770061.749,288931.592,206.219
隧道路段,4+160.0,81+097.167,,2770069.396,288925.149,206.696
隧道路段,4+170.0,81+107.167,,2770077.319,288919.049,207.173
隧道路段,4+180.0,81+117.167,,2770085.503,288913.304,207.651
隧道路段,4+190.0,81+127.167,,2770093.932,288907.925,208.128
隧道路段,4+200.0,81+137.167,,2770102.590,288902.923,208.605
隧道路段,4+210.0,81+147.167,,2770111.460,288898.306,209.082
隧道路段,4+220.0,81+157.167,,2770120.525,288894.085,209.559
隧道路段,4+230.0,81+167.167,,2770129.766,288890.267,210.036
隧道路段,4+240.0,81+177.167,,2770139.167,288886.860,210.513
隧道路段,4+250.0,81+187.167,,2770148.708,288883.870,210.991
隧道路段,4+260.0,81+197.167,,2770158.373,288881.303,211.468
隧道路段,4+270.0,81+207.167,,2770168.140,288879.164,211.945
隧道路段,4+280.0,81+217.167,,2770177.993,288877.457,212.422
隧道路段,4+290.0,81+227.167,,2770187.911,288876.186,212.899
隧道路段,4+300.0,81+237.167,,2770197.875,288875.353,213.376
隧道路段,4+310.0,81+247.167,,2770207.867,288874.959,213.854
隧道路段,4+320.0,81+257.167,,2770217.866,288874.994,214.321
隧道路段,4+330.0,81+267.167,,2770227.858,288875.386,214.788
變化點,4+337.4,81+274.567,銜接明挖覆蓋地下段,2770235.242,288875.855,215.134
地下路段,4+340.0,81+277.167,,2770237.836,288876.048,215.256
地下路段,4+350.0,81+287.167,,2770247.800,288876.890,215.723
地下路段,4+360.0,81+297.167,,2770257.756,288877.825,216.190
地下路段,4+370.0,81+307.167,,2770267.711,288878.778,216.666
地下路段,4+380.0,81+317.167,,2770277.665,288879.730,217.144
地下路段,4+390.0,81+327.167,,2770287.620,288880.683,217.623
地下路段,4+400.0,81+337.167,,2770297.575,288881.627,218.106
地下路段,4+410.0,81+347.167,,2770307.533,288882.543,218.571
地下路段,4+420.0,81+357.167,,2770317.495,288883.410,218.988
地下路段,4+430.0,81+367.167,,2770327.464,288884.208,219.355
地下路段,4+440.0,81+377.167,,2770337.438,288884.923,219.671
地下路段,4+450.0,81+387.167,,2770347.418,288885.556,219.938
地下路段,4+460.0,81+397.167,,2770357.402,288886.110,220.151
地下路段,4+470.0,81+407.167,,2770367.390,288886.605,220.318
地下路段,4+480.0,81+417.167,,2770377.380,288887.062,220.436
地下路段,4+490.0,81+427.167,,2770387.370,288887.501,220.508
地下路段,4+500.0,81+437.167,,2770397.361,288887.937,220.537
地下路段,4+510.0,81+447.167,,2770407.351,288888.374,220.537
地下路段,4+520.0,81+457.167,,2770417.342,288888.811,220.537
地下路段,4+530.0,81+467.167,,2770427.332,288889.248,220.537
地下路段,4+540.0,81+477.167,,2770437.322,288889.684,220.537
地下路段,4+550.0,81+487.167,,2770447.313,288890.121,220.537
地下路段,4+560.0,81+497.167,,2770457.303,288890.558,220.537
地下車站,0+000.0,81+507.016,A7(體育大學站),2770467.144,288890.988,220.537
地下路段,0+010.0,81+517.016,,2770477.134,288891.425,220.537
地下路段,0+020.0,81+527.016,,2770487.125,288891.861,220.537
地下路段,0+030.0,81+537.016,,2770497.115,288892.298,220.537
地下路段,0+040.0,81+547.016,,2770507.105,288892.735,220.537
地下路段,0+050.0,81+557.016,,2770517.096,288893.171,220.537
地下路段,0+060.0,81+567.016,,2770527.086,288893.608,220.537
地下路段,0+070.0,81+577.016,,2770537.077,288894.045,220.537
地下路段,0+080.0,81+587.016,,2770547.067,288894.482,220.537
地下路段,0+090.0,81+597.016,,2770557.058,288894.918,220.551
地下路段,0+100.0,81+607.016,,2770567.048,288895.355,220.593
地下路段,0+110.0,81+617.016,,2770577.039,288895.792,220.664
地下路段,0+120.0,81+627.016,,2770587.029,288896.228,220.762
地下路段,0+130.0,81+637.016,,2770597.020,288896.665,220.889
地下路段,0+140.0,81+647.016,,2770607.010,288897.102,221.044
地下路段,0+150.0,81+657.016,,2770617.000,288897.539,221.213
地下路段,0+160.0,81+667.016,,2770626.991,288897.975,221.382
地下路段,0+170.0,81+677.016,,2770636.981,288898.412,221.551
地下路段,0+180.0,81+687.016,,2770646.972,288898.849,221.720
地下路段,0+190.0,81+697.016,,2770656.962,288899.285,221.889
地下路段,0+200.0,81+707.016,,2770666.953,288899.722,222.058
地下路段,0+210.0,81+717.016,,2770676.943,288900.159,222.227
地下路段,0+220.0,81+727.016,,2770686.934,288900.596,222.396
地下路段,0+230.0,81+737.016,,2770696.924,288901.032,222.565
地下路段,0+240.0,81+747.016,,2770706.915,288901.469,222.734
地下路段,0+250.0,81+757.016,,2770716.905,288901.906,222.903
地下路段,0+260.0,81+767.016,,2770726.896,288902.342,223.072
地下路段,0+270.0,81+777.016,,2770736.886,288902.779,223.241
地下路段,0+280.0,81+787.016,,2770746.876,288903.216,223.410
地下路段,0+290.0,81+797.016,,2770756.867,288903.653,223.578
地下路段,0+300.0,81+807.016,,2770766.857,288904.089,223.747
地下路段,0+310.0,81+817.016,,2770776.848,288904.526,223.916
地下路段,0+320.0,81+827.016,,2770786.838,288904.963,224.085
地下路段,0+330.0,81+837.016,,2770796.829,288905.399,224.254
地下路段,0+340.0,81+847.016,,2770806.819,288905.836,224.424
地下路段,0+350.0,81+857.016,,2770816.810,288906.276,224.597
地下路段,0+360.0,81+867.016,,2770826.799,288906.730,224.771
地下路段,0+370.0,81+877.016,,2770836.788,288907.208,224.943
地下路段,0+380.0,81+887.016,,2770846.775,288907.718,225.112
地下路段,0+390.0,81+897.016,,2770856.760,288908.262,225.281
地下路段,0+400.0,81+907.016,,2770866.743,288908.839,225.450
地下路段,0+410.0,81+917.016,,2770876.725,288909.449,225.619
地下路段,0+420.0,81+927.016,,2770886.704,288910.091,225.784
地下路段,0+430.0,81+937.016,,2770896.682,288910.756,225.948
地下路段,0+440.0,81+947.016,,2770906.659,288911.433,226.113
地下路段,0+450.0,81+957.016,,2770916.636,288912.111,226.282
地下路段,0+460.0,81+967.016,,2770926.613,288912.790,226.451
地下路段,0+470.0,81+977.016,,2770936.590,288913.469,226.620
地下路段,0+480.0,81+987.016,,2770946.567,288914.147,226.789
地下路段,0+490.0,81+997.016,,2770956.544,288914.826,226.958
地下路段,0+500.0,82+007.016,,2770966.521,288915.505,227.127
地下路段,0+510.0,82+017.016,,2770976.498,288916.184,227.296
地下路段,0+520.0,82+027.016,,2770986.475,288916.862,227.465
地下路段,0+530.0,82+037.016,,2770996.451,288917.541,227.634
地下路段,0+540.0,82+047.016,,2771006.428,288918.220,227.803
地下路段,0+550.0,82+057.016,,2771016.405,288918.898,227.972
地下路段,0+560.0,82+067.016,,2771026.384,288919.552,228.141
地下路段,0+570.0,82+077.016,,2771036.367,288920.133,228.310
地下路段,0+580.0,82+087.016,,2771046.357,288920.586,228.479
地下路段,0+590.0,82+097.016,,2771056.353,288920.860,228.648
地下路段,0+600.0,82+107.016,,2771066.352,288920.902,228.817
地下路段,0+610.0,82+117.016,,2771076.349,288920.659,228.986
地下路段,0+620.0,82+127.016,,2771086.332,288920.078,229.155
地下路段,0+630.0,82+137.016,,2771096.284,288919.109,229.323
地下路段,0+640.0,82+147.016,,2771106.183,288917.700,229.492
地下路段,0+650.0,82+157.016,,2771116.002,288915.809,229.669
地下路段,0+660.0,82+167.016,,2771125.713,288913.430,229.877
地下路段,0+670.0,82+177.016,,2771135.294,288910.568,230.117
地下路段,0+680.0,82+187.016,,2771144.720,288907.231,230.388
地下路段,0+690.0,82+197.016,,2771153.967,288903.428,230.692
地下路段,0+700.0,82+207.016,,2771163.013,288899.166,231.028
地下路段,0+710.0,82+217.016,,2771171.834,288894.458,231.397
地下路段,0+720.0,82+227.016,,2771180.409,288889.316,231.797
地下路段,0+730.0,82+237.016,,2771188.716,288883.750,232.230
地下路段,0+740.0,82+247.016,,2771196.735,288877.777,232.694
地下路段,0+750.0,82+257.016,,2771204.445,288871.410,233.183
地下路段,0+760.0,82+267.016,,2771211.827,288864.666,233.674
地下路段,0+770.0,82+277.016,,2771218.863,288857.562,234.164
地下路段,0+780.0,82+287.016,,2771225.535,288850.115,234.654
地下路段,0+790.0,82+297.016,,2771231.826,288842.343,235.145
地下路段,0+800.0,82+307.016,,2771237.722,288834.267,235.635
地下路段,0+810.0,82+317.016,,2771243.225,288825.919,236.126
地下路段,0+820.0,82+327.016,,2771248.367,288817.342,236.616
地下路段,0+830.0,82+337.016,,2771253.184,288808.580,237.106
地下路段,0+840.0,82+347.016,,2771257.716,288799.666,237.597
地下路段,0+850.0,82+357.016,,2771262.006,288790.633,238.087
地下路段,0+860.0,82+367.016,,2771266.099,288781.509,238.578
地下路段,0+870.0,82+377.016,,2771270.042,288772.320,239.068
地下路段,0+880.0,82+387.016,,2771273.882,288763.087,239.558
地下路段,0+890.0,82+397.016,,2771277.668,288753.831,240.049
地下路段,0+900.0,82+407.016,,2771281.442,288744.570,240.539
地下路段,0+910.0,82+417.016,,2771285.216,288735.310,241.030
地下路段,0+920.0,82+427.016,,2771288.991,288726.050,241.520
地下路段,0+930.0,82+437.016,,2771292.765,288716.789,242.010
地下路段,0+940.0,82+447.016,,2771296.539,288707.529,242.501
地下路段,0+950.0,82+457.016,,2771300.313,288698.268,242.992
地下路段,0+960.0,82+467.016,,2771304.093,288689.010,243.488
地下路段,0+970.0,82+477.016,,2771307.891,288679.759,243.983
地下路段,0+980.0,82+487.016,,2771311.723,288670.523,244.479
地下路段,0+990.0,82+497.016,,2771315.606,288661.307,244.974
地下路段,1+000.0,82+507.016,,2771319.553,288652.120,245.468
地下路段,1+010.0,82+517.016,,2771323.576,288642.964,245.959
地下路段,1+020.0,82+527.016,,2771327.675,288633.843,246.449
地下路段,1+030.0,82+537.016,,2771331.850,288624.756,246.939
